"Date","Geo Port","Inflation"
"1971-04-08",11439.34,10617.15
"1971-04-12",11530.84,10620.69
"1971-04-13",11543.15,10621.57
"1971-04-14",11543.05,10622.46
"1971-04-15",11603.35,10623.34
"1971-04-16",11612.72,10624.23
"1971-04-19",11660.87,10626.88
"1971-04-20",11567.34,10627.76
"1971-04-21",11496.32,10628.65
"1971-04-22",11540.3,10629.53
"1971-04-23",11589.99,10630.42
"1971-04-26",11534.4,10633.07
"1971-04-27",11558.94,10633.95
"1971-04-28",11571.87,10634.84
"1971-04-29",11579.05,10635.72
"1971-04-30",11503.28,10636.6
"1971-05-03",11414.02,10641.74
"1971-05-04",11465.73,10643.45
"1971-05-05",11450.17,10645.16
"1971-05-06",11408.31,10646.87
"1971-05-07",11379.33,10648.58
"1971-05-10",11352.63,10653.72
"1971-05-11",11401.99,10655.43
"1971-05-12",11441.65,10657.14
"1971-05-13",11421.22,10658.85
"1971-05-14",11384.83,10660.56
"1971-05-17",11184.89,10665.7
"1971-05-18",11195.24,10667.41
"1971-05-19",11222.99,10669.12
"1971-05-20",11312.55,10670.83
"1971-05-21",11285.14,10672.54
"1971-05-24",11197.31,10677.68
"1971-05-25",11165.49,10679.39
"1971-05-26",11185,10681.1
"1971-05-27",11210.73,10682.81
"1971-05-28",11192.41,10684.52
"1971-06-01",11261.27,10692.31
"1971-06-02",11357.64,10694.96
"1971-06-03",11410.26,10697.61
"1971-06-04",11415.15,10700.27
"1971-06-07",11373.75,10708.22
"1971-06-08",11254.9,10710.88
"1971-06-09",11224.54,10713.53
"1971-06-10",11245.22,10716.18
"1971-06-11",11318.15,10718.83
"1971-06-14",11185.05,10726.79
"1971-06-15",11184.19,10729.44
"1971-06-16",11225.92,10732.1
"1971-06-17",11216.54,10734.75
"1971-06-18",11095.88,10737.4
"1971-06-21",11020.58,10745.36
"1971-06-22",10942.94,10748.01
"1971-06-23",11041.96,10750.66
"1971-06-24",10987.36,10753.32
"1971-06-25",10975.39,10755.97
"1971-06-28",10962.43,10763.93
"1971-06-29",11057.83,10766.58
"1971-06-30",11181.33,10769.23
"1971-07-01",11213.09,10770.09
"1971-07-02",11295.23,10770.94
"1971-07-06",11325.23,10774.36
"1971-07-07",11355.59,10775.22
"1971-07-08",11396.13,10776.08
"1971-07-09",11462.68,10776.93
"1971-07-12",11524.31,10779.5
