Monthly Start Date,Total Nominal Return (%),"Inferred Regime ID (0=Low, 2=High)"
1896-09-17,5.423043066069073,2.0
1896-10-16,14.973913157324667,1.0
1896-11-17,-5.890457345868378,1.0
1896-12-17,4.094103885057122,1.0
1897-01-19,-3.061070637639636,1.0
1897-02-18,2.325957670983248,1.0
1897-03-22,-7.263598631298571,1.0
1897-04-21,0.6359404797074046,1.0
1897-05-21,8.965487562087866,0.0
1897-06-22,6.54434231958415,0.0
1897-07-22,9.725346723828334,0.0
1897-08-20,6.783401122376775,0.0
1897-09-21,-7.0257293858106875,1.0
1897-10-20,-4.678219424660763,1.0
1897-11-19,4.696679708695551,1.0
1897-12-21,1.3417413646064391,1.0
1898-01-19,2.138280844441008,1.0
1898-02-17,-8.676657454506199,1.0
1898-03-21,-0.7567728925764721,2.0
1898-04-19,9.949516048643403,2.0
1898-05-19,3.9968410545530464,2.0
